,"地區
 (北投區/士林區/內湖區/松山區/中山區/大同區/南港區/信義區/大安區/中正區/萬華區/文山區)",,"運動種類
 (重訓/有氧/瑜珈/球類/游泳/戶外運動)",,"設施配備
 (淋浴間/置物櫃/停車場/Wi-Fi)","場館規模
 (大型綜合場所/小型運動場所)", (有/無),(女性專用/無障礙設施/寵物友善/性別友善設施),,,,
場地名稱,地區,"價格區間
 (0-200/次、200-500/次、500以上)",種類,營業時間,設施配備,場館規模,課程/教練,其他,相關網頁,地址,連絡電話,照片
葫蘆國小,士林區,,羽球/游泳,,,,,無障礙設施/性別友善設施,"https://apache.hrps.tp.edu.tw/eweb/module/system_modules/index.php?home=ew00000000090&sn=783&sn_ids=752&free_ids=783#:~:text=%E6%93%8D%E5%A0%B4%E7%82%BA200%E7%B1%B36%E9%81%93%E6%A8%99%E6%BA%96%E6%A9%A1%E8%86%A0%E5%9C%B0%E5%A2%8A%E8%B7%91%E9%81%93%EF%BC%8C%E4%B8%A6%E5%8A%83%E8%A8%AD60%E7%B1%B3%E3%80%81100%E7%B1%B3%E3%80%81200%E7%B1%B3%E3%80%81600%E7%B1%B3%E8%B5%B7%E8%B7%91%E9%BB%9E%E8%88%87%E7%B5%82%E9%BB%9E%EF%BC%8C%E6%98%AF%E5%AD%B8%E7%94%9F%E4%B8%8B%E8%AA%B2%E6%9C%80%E6%84%9B%E3%80%82,%E4%B8%AD%E5%A4%AE%E7%B6%9C%E5%90%88%E7%90%83%E5%A0%B4%E8%A8%AD%E6%9C%89%E8%BA%B2%E9%81%BF%E7%90%83%E5%A0%B4%E3%80%81%E7%B1%83%E7%90%83%E5%8D%8A%E5%A0%B4%E7%B7%B4%E7%BF%92%E3%80%81%E4%BA%94%E4%BA%BA%E5%88%B6%E8%B6%B3%E7%90%83%E5%A0%B4%EF%BC%8C%E5%90%8C%E6%99%82%E5%85%BC%E5%81%9A%E7%AB%B6%E9%80%9F%E7%9B%B4%E6%8E%92%E8%BC%AA%E5%8F%8A%E6%A8%82%E6%A8%82%E6%A3%92%E7%90%83%E7%B7%B4%E7%BF%92%E5%A0%B4%E3%80%82%20%E6%B4%BB%E5%8B%95%E4%B8%AD%E5%BF%83%E5%85%A7%E6%9C%89%E5%B1%95%E6%BC%94%E8%88%9E%E8%87%BA%E5%8F%8A%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%AB%94%E8%82%B2%E9%A4%A8%EF%BC%8C%E7%95%AB%E8%A8%AD4%E5%BA%A7%E7%BE%BD%E6%AF%9B%E7%90%83%E5%A0%B4%E5%9C%B0%E5%8F%8A4%E5%BA%A7%E5%8D%8A%E5%A0%B4%E7%B1%83%E7%90%83%E5%A0%B4%E5%9C%B0%EF%BC%8C%E4%B8%A6%E9%96%8B%E6%94%BE%E5%A0%B4%E5%9C%B0%E7%A7%9F%E5%80%9F%E3%80%82",臺北市士林區環河北路3段95號,02-28129586#835,
市立大學天母校區附設游泳池,士林區,,,,,,,,,臺北市士林區忠誠路2段101號,,
World Gym健身俱樂部天母店,士林區,,,6:00-24:00,,,,,https://www.worldgymtaiwan.com/,臺北市士林區中山北路7段34號1至3樓及地下室,,
前港公園游泳池,士林區,,,,,,,,,臺北市士林區前港街45號,,
士林運動中心,士林區,,,,,,,,,臺北市士林區士商路1號,,
克強公園游泳池,士林區,,,,,,,,,臺北市士林區磺溪街55巷2號,,
天母國際聯誼會游泳池,士林區,,,,,,,,,臺北市士林區中山北路6段88號地下1、2樓,,
Curves社子延平店,士林區,,,,,,,,,臺北市士林區延平北路5段307號2樓,,
Curves劍潭店,士林區,,,,,,,,,臺北市士林區承德路4段191號2樓、2樓之1,,
